step,accA,accB,accTot,aucA,aucB,aucTot,CE
1,0.823559670781893,0.5657147129186603,0.7043349004424779,0.9388416526886074,0.9046149391918638,0.9393873176802767,0.9415108561515808
2,0.8388947740112994,0.6230681818181818,0.7075843473451328,0.9087266388062879,0.9291481068753716,0.9433451365134851,0.9415108561515808
3,0.8123899647887324,0.6229334677419355,0.6824529867256637,0.9461009867881977,0.9128948230853254,0.9244780571477206,0.9415108561515808
4,0.7511382450331126,0.5343646179401993,0.6067823561946902,0.9010567294715122,0.8434319887424928,0.8664249809257021,0.9231796711683273
5,0.803125,0.47645902317880795,0.5848658738938053,0.8268319447572811,0.7823274079959585,0.8129361778427808,0.8991508036851883
6,0.8291794478527608,0.42544333910034604,0.5710384402654868,0.8358359753945592,0.8123499002660394,0.8434137927303824,0.9032019376754761
7,0.8250374251497006,0.41310307017543857,0.5653000553097345,0.850104204609424,0.8091873847050461,0.842644726525398,0.9067031070590019
8,0.8377232142857143,0.44516225961538464,0.5667519358407079,0.9328395355658959,0.8220060275352264,0.8617277097789178,0.910576157271862
9,0.8313337053571429,0.48579963235294116,0.5714186946902655,0.9447128141837089,0.8381286229904921,0.8723852040651557,0.9123739376664162
10,0.83984375,0.5132406655844156,0.6172912057522124,0.9304747945865581,0.7947754117794343,0.8464989828703967,0.8922936096787453
11,0.8543836805555556,0.5120231331168831,0.62109375,0.9369036849851311,0.7829681590235128,0.8429638726005215,0.8584923148155212
12,0.8737980769230769,0.4926678802588997,0.6132466814159292,0.9661888527898395,0.8413806827825676,0.8928374906132164,0.8429956808686256
13,0.8572530864197531,0.4676724137931034,0.6073008849557522,0.9650624455958956,0.8388771412485972,0.8971942340899141,0.8496990725398064
14,0.8432877218934911,0.46792181978798586,0.6082688053097345,0.9642654081346267,0.8331716725335868,0.8973869316618968,0.8572646602988243
15,0.8530649038461539,0.48553631756756754,0.6123824668141593,0.9718313946013588,0.8379374635507475,0.9028222832728978,0.8636660873889923
16,0.843264751552795,0.49205326460481097,0.6171529314159292,0.9766348464867325,0.8398280319135059,0.9076810634357417,0.87539441883564
17,0.8336693548387096,0.48916245791245794,0.6073008849557522,0.9733470874563875,0.8537642284522018,0.9141566733638448,0.8826681151986122
18,0.8390827922077922,0.5055915551839465,0.6189638520971302,0.9742200479800938,0.8545602737917328,0.915161218135674,0.8796249181032181
19,0.8503024193548387,0.5140467171717171,0.6293556415929203,0.9697085209375573,0.8369470753376209,0.9056241995540649,0.8813383430242538
20,0.8534128289473685,0.51734375,0.6303581305309734,0.9724059432972381,0.8336522076881518,0.908128974862412,0.8824879378080368
